charger_uid,statId,statNm,addr,district_final,lat,lng,is_deleted
HE240400_02,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_03,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_04,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_05,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_06,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_07,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_08,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_09,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_10,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_11,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_12,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_13,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_14,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_15,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
HE240400_16,HE240400,신동아파밀리에명품,인천광역시 남동구 염전로 440,남동구,33.287911339,126.57865221,False
IN032039_01,IN032039,산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,부평구,35.5057,126.6941,True
IN032039_02,IN032039,산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,부평구,35.5057,126.6941,True
IN032039_03,IN032039,산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,부평구,35.5057,126.6941,True
PIS00394_01,PIS00394,인천 부평구 산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,부평구,35.5057,126.6941,False
PIS00394_02,PIS00394,인천 부평구 산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,부평구,35.5057,126.6941,False
PIS00394_03,PIS00394,인천 부평구 산곡1동현대아파트,인천광역시 부평구 원적로269번길 15,부평구,35.5057,126.6941,False
