statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker
힐스테이트 신검단 센트럴아파트,PL033118,40,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260714102649,20260713184059,20260714102649,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,41,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260716074104,20260715210043,20260716074104,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,42,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260716034325,20260715191115,20260716034325,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,43,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,3,20260714152931,20260714152931,20260714084912,20260714152931,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,44,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260716053621,20260715213400,20260716053621,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,45,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260716053831,20260715190119,20260716053831,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,46,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260715204031,20260715145926,20260715204031,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,47,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260715082836,20260714214017,20260715082836,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,48,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260716082439,20260716001204,20260716082439,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
힐스테이트 신검단 센트럴아파트,PL033118,49,02,인천광역시 검단구 고산후로 249,힐스테이트 신검단 센트럴아파트,"B2F(4207동,4210동,4213동),B3F(4204동,4211동,4212동)",37.6076771,126.6979529,24시간 이용가능,PL,플러그링크,플러그링크,1533-0702,2,20260715190613,20260715042303,20260715190613,,,7,단독,28,28290,H0,H001,N,,Y,거주자 외 이용불가,N,,Y,2026,3,B,LS산전
