statNm,statId,chgerId,chgerType,addr,addrDetail,location,lat,lng,useTime,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,floorNum,floorType,maker,charger_uid,coordinate_missing,coordinate_outlier,district_by_code,district_from_address,district_address_normalized,district_mismatch,is_deleted,is_limited,is_active_record,usable_for_spatial_analysis,district_before_correction,lat_before_correction,lng_before_correction,district_corrected,coordinate_corrected,correction_reason,district_final,coordinate_missing_final,coordinate_outlier_final,usable_for_district_analysis,usable_for_spatial_analysis_final,publicly_accessible,boundary_base_date,district_2024,district_code_2024,geometry_fixed,boundary_match_status
송도더샵그린스퀘어 T15기둥,IM000205,6,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G16기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-16 04:27:47,2026-07-15 16:13:12,2026-07-15 18:58:54,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000205_06,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T12기둥,IM000206,1,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G19기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 20:00:52,2026-07-15 17:33:48,2026-07-15 20:00:36,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000206_01,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T12기둥,IM000206,2,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G19기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-11 10:30:47,2026-07-11 08:57:19,2026-07-11 10:33:45,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000206_02,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T12기둥,IM000206,3,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G19기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-13 19:48:29,2026-07-13 17:16:29,2026-07-13 19:44:58,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000206_03,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T12기둥,IM000206,4,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G19기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 20:36:30,2026-07-15 15:47:23,2026-07-15 20:37:54,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000206_04,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T12기둥,IM000206,5,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G19기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 08:00:29,2026-07-15 00:05:30,2026-07-15 08:00:54,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000206_05,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T12기둥,IM000206,6,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G19기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-16 01:51:46,2026-07-15 20:48:39,2026-07-16 01:54:46,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000206_06,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T15기둥,IM000207,1,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G22기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 19:51:29,2026-07-15 18:13:41,2026-07-15 19:54:45,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000207_01,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T15기둥,IM000207,2,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G22기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-06-22 03:11:44,2026-06-21 22:21:25,2026-06-22 03:11:49,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000207_02,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
송도더샵그린스퀘어 T15기둥,IM000207,3,2,인천광역시 연수구 송도문화로28번길 81,송도더샵그린스퀘어,지하1층 G22기둥,37.3,126.6,24시간 이용가능,IM,아이마켓코리아,아이마켓코리아,02-3708-5678,2,2026-07-15 18:27:47,2026-07-15 17:22:53,2026-07-15 18:31:05,,,7.0,단독,28,28185,H0,H001,Y,,Y,거주자외 출입제한,N,,N,2024,1,B,,IM000207_03,False,False,연수구,연수구,연수구,False,False,True,True,True,연수구,37.3,126.6,False,False,,연수구,False,False,True,True,False,,,,,unmatched
