station_id,station_name,district_2024,latitude,longitude,charger_count,public_charger_count,nearest_station_distance_m,representative_address
PI320323,인천시 서구 엠파크허브,서구,37.4901456,126.6657353,14,14,262.72,"인천광역시 서해구 염곡로 52 6,5,4(지상2층 기둥C19, 지상1층 직원주차장2, 지상1층 상품차량입구)"
ICIA0065,인천공항 조업장비 정비시설A (A/S),중구,37.4766044,126.452908,2,0,261.56,인천광역시 영종구 운서동 2840-11 한국공항 정비고 앞
PIS00398,인천 중구 인천항동물류센터,중구,37.4541,126.6159,1,0,260.22,인천광역시 제물포구 축항대로165번길 20 옥외주차장
HY001787,현대모비스 부품사업소(인천),중구,37.453506,126.618746,1,0,260.22,인천광역시 제물포구 축항대로 195 정문 경비실 우측
ICIA0083,인천공항 주변전소A (A/S),중구,37.4786869,126.4515219,2,0,259.15,인천광역시 영종구 운서동 2864-52 주차장 진입 후 오른쪽
CI0L000F,카쇼,미추홀구,37.4532969,126.6650788,1,1,258.51,인천광역시 미추홀구 인주대로 255 카쇼
EZ300076,기업은행 남동사랑점 (공용),남동구,37.3977635,126.6890232,1,1,258.38,인천광역시 남동구 앵고개로 448
PI122318,인천시 남동구 삼천리기계,남동구,37.395704,126.690386,3,3,258.38,"인천광역시 남동구 남동대로 99 (고잔동) 1층 주차장 끝, 1주차장 3층"
ICIA0063,인천공항 T2 중수도시설 주차장 (A/S),중구,37.4879553,126.4121595,1,0,252.61,인천광역시 영종구 제2터미널대로 256 주차장 진입 후 왼쪽
MO910067,엔에스브이(NSV),남동구,37.393844,126.699894,3,1,252.3,인천광역시 남동구 앵고개로 547 엔에스브이(NSV) 지하 1층 주차장
ICIA0030,인천공항 지원단지 주차장,중구,37.481004,126.451891,14,14,252.0,인천광역시 영종구 공항동록 465번길 주차장 진입(우측) 후 오른쪽
ME25A426,길상공설운동장 주차장,강화군,37.6357132,126.4962825,4,4,251.82,인천광역시 강화군 길상면 온수리 605-20
ICIA0018,인천공항 북측 화물터미널(좌) 1,중구,37.468079,126.460632,12,12,246.95,인천광역시 영종구 운서동 2859-4 인천항공화물터미널 B동 북측주차장2
ICIA0021,인천공항 북측 화물터미널(우) 1,중구,37.470181,126.46155,14,14,246.95,인천광역시 영종구 운서동 3246-32 DHL 창고 앞
KE001531,인천강화경찰수련원,강화군,37.6240982,126.5346502,2,2,238.37,인천광역시 강화군 길상면 해안남로65번길 15 강화경찰수련원 지상 1층
ME20A1b5,불은면사무소,강화군,37.6864076,126.4796574,1,1,236.97,인천광역시 강화군 불은면 강화동로 562-3
PI645371,BMW차징스테이션 두운리카페,강화군,37.6864539,126.4769707,5,5,236.97,인천광역시 강화군 불은면 불은북로 36-8 카페 지상주차장
PI320287,인천시 중구 국제고등학교,중구,37.489713981,126.50941177,2,2,232.74,인천광역시 영종구 영종대로277번길 74-40 지상1층
ME18B188,온수리 공영 주차장,강화군,37.63936,126.49185,1,1,232.24,인천광역시 강화군 길상면 온수리 546-34
ICIA0076,인천공항 ICT센터 주차장,중구,37.48635,126.414986,2,2,232.13,인천광역시 영종구 운서동 3234-15 주차장 진입 후 오른쪽
IM000024,삼성바이오로직스 드림파크 어린이집,연수구,37.367429495,126.66288737,6,3,231.31,인천광역시 연수구 송도바이오대로 300 삼성바이오로직스 드림파크 어린이집 야외 주차장
ST601159,(주)을왕주유소,중구,37.4590226,126.3720625,4,4,230.96,인천광역시 영종구 을왕동 812-20 주유소
ME19A267,왕산 공영주차장,중구,37.456969724,126.37163066,2,2,230.96,인천광역시 영종구 을왕동 808-5
PC000708,아이지이 주식회사(인천),서구,37.5085846,126.6531336,2,2,229.61,인천광역시 서해구 중봉대로306번길 33 행정동 앞 지상주차장
PIH01724,마전양우내안애퍼스트힐아파트,서구,37.6115504,126.6699808,31,0,229.16,"인천광역시 검단구 검단로609번길 23 B2 정문램프앞 103동측 37기둥, 105동측 17번기둥 B1, 107동측후문램프앞 B1"
